dev:  cuda OrderedDict([('run_id', '0'), ('env', 'CartpoleStabShort-v0'), ('steps', '1000000'), ('batch_size', '2024'), ('buffer_size', '100000'), ('warmup_samples', '50000'), ('actor_lr', '0.0001'), ('critic_lr', '0.0001'), ('actor_hidden_layers', '[100,100,50]'), ('critic_hidden_layers', '[100,100]'), ('tau', '0.01'), ('noise_decay', '0.99'), ('', '')])
1000000 50000 100000 2024 0.0001 0.0001 0.99 0.01 [100, 100, 50] [100, 100]
tensor([-5.], device='cuda:0') tensor([5.], device='cuda:0')
Training started...
13840 /1000000 | 365 /0 | 13840 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
14032 /1000000 | 383 /0 | 14032 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
14159 /1000000 | 253 /0 | 14159 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
14292 /1000000 | 265 /0 | 14292 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
14476 /1000000 | 367 /0 | 14476 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
14859 /1000000 | 765 /0 | 14859 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
15039 /1000000 | 359 /0 | 15039 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
15194 /1000000 | 309 /0 | 15194 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
15439 /1000000 | 489 /0 | 15439 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
15526 /1000000 | 173 /0 | 15526 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
15664 /1000000 | 275 /0 | 15664 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
